location	values	latitude	longitude	region	county	locality
Alpharetta, GA	{'latitude': 34.06179, 'longitude': -84.272531, 'type': 'locality', 'name': 'Alpharetta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Alpharetta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Alpharetta, GA, USA'}	34.06179	-84.272531	Georgia	Fulton County	Alpharetta
Lansing, MI	{'latitude': 42.706332, 'longitude': -84.550291, 'type': 'locality', 'name': 'Lansing', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Ingham County', 'locality': 'Lansing', 'administrative_area': 'Lansing', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lansing, MI, USA'}	42.706332	-84.550291	Michigan	Ingham County	Lansing
New York, NY 10001 (Hell's Kitchen area)	{'latitude': 40.750634, 'longitude': -73.997176, 'type': 'postalcode', 'name': '10001', 'number': None, 'postal_code': '10001', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10001, New York, NY, USA'}	40.750634	-73.997176	New York	Kings County	New York
Parkersburg, WV 26101	{'latitude': 39.275245, 'longitude': -81.54509, 'type': 'locality', 'name': 'Parkersburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'West Virginia', 'region_code': 'WV', 'county': 'Wood County', 'locality': 'Parkersburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Parkersburg, WV, USA'}	39.275245	-81.54509	West Virginia	Wood County	Parkersburg
Holyoke, MA 01040	{'latitude': 42.202392, 'longitude': -72.645284, 'type': 'locality', 'name': 'Holyoke', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Hampden County', 'locality': 'Holyoke', 'administrative_area': 'Holyoke', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Holyoke, MA, USA'}	42.202392	-72.645284	Massachusetts	Hampden County	Holyoke
New York, NY 10010 (Flatiron area)	{'latitude': 45.765099, 'longitude': 15.9879, 'type': 'venue', 'name': '10010 Zagreb-Sloboština', 'number': '13', 'postal_code': '10010', 'street': 'Ulica Vladimira Varićaka', 'confidence': 1, 'region': 'Grad Zagreb', 'region_code': 'GZ', 'county': None, 'locality': 'Zagreb', 'administrative_area': None, 'neighbourhood': None, 'country': 'Croatia', 'country_code': 'HRV', 'continent': 'Europe', 'label': '10010 Zagreb-Sloboština, Zagreb, GZ, Croatia'}	45.765099	15.9879	Grad Zagreb		Zagreb
Seattle, WA 98101 (Downtown area)	{'latitude': 47.610902, 'longitude': -122.336422, 'type': 'postalcode', 'name': '98101', 'number': None, 'postal_code': '98101', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98101, Seattle, WA, USA'}	47.610902	-122.336422	Washington	King County	Seattle
Framingham, MA	{'latitude': 42.309583, 'longitude': -71.435625, 'type': 'locality', 'name': 'Framingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Framingham', 'administrative_area': 'Framingham', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Framingham, MA, USA'}	42.309583	-71.435625	Massachusetts	Middlesex County	Framingham
New York, NY 10019 (Midtown area)	{'latitude': 40.765823, 'longitude': -73.987179, 'type': 'postalcode', 'name': '10019', 'number': None, 'postal_code': '10019', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10019, New York, NY, USA'}	40.765823	-73.987179	New York	Kings County	New York
Chicago, IL 60631 (O'Hare area)	{'latitude': 41.87897, 'longitude': -87.66063, 'type': 'locality', 'name': 'Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicago, IL, USA'}	41.87897	-87.66063	Illinois	Cook County	Chicago
Riverside, CA (Canyon Crest area)	{'latitude': 42.337111, 'longitude': -71.253054, 'type': 'venue', 'name': 'Riverside', 'number': '367', 'postal_code': '02466', 'street': 'Grove Street', 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Newton', 'administrative_area': 'Newton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Riverside, Newton, MA, USA'}	42.337111	-71.253054	Massachusetts	Middlesex County	Newton
Tampa, FL 33613	{'latitude': 27.935231, 'longitude': -82.495716, 'type': 'locality', 'name': 'Tampa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Hillsborough County', 'locality': 'Tampa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tampa, FL, USA'}	27.935231	-82.495716	Florida	Hillsborough County	Tampa
Bothell, WA 98021	{'latitude': 47.787813, 'longitude': -122.205088, 'type': 'locality', 'name': 'Bothell', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Snohomish County', 'locality': 'Bothell', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bothell, WA, USA'}	47.787813	-122.205088	Washington	Snohomish County	Bothell
Urbana, IL	{'latitude': 40.100997, 'longitude': -88.196682, 'type': 'locality', 'name': 'Urbana', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Champaign County', 'locality': 'Urbana', 'administrative_area': 'Cunningham Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Urbana, IL, USA'}	40.100997	-88.196682	Illinois	Champaign County	Urbana
Denton, TX	{'latitude': 33.219058, 'longitude': -97.13077, 'type': 'locality', 'name': 'Denton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Denton County', 'locality': 'Denton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Denton, TX, USA'}	33.219058	-97.13077	Texas	Denton County	Denton
Dayton, NJ 08810	{'latitude': 40.381433, 'longitude': -74.513469, 'type': 'locality', 'name': 'Dayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Middlesex County', 'locality': 'Dayton', 'administrative_area': 'South Brunswick Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dayton, NJ, USA'}	40.381433	-74.513469	New Jersey	Middlesex County	Dayton
Columbus, OH 43219	{'latitude': 39.980761, 'longitude': -82.985331, 'type': 'locality', 'name': 'Columbus', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Columbus', 'administrative_area': 'Columbus', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbus, OH, USA'}	39.980761	-82.985331	Ohio	Franklin County	Columbus
Nashville, TN	{'latitude': 36.236907, 'longitude': -86.834683, 'type': 'locality', 'name': 'Nashville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Nashville, TN, USA'}	36.236907	-86.834683	Tennessee	Davidson County	Nashville
Carthage, IL 62321	{'latitude': 40.415389, 'longitude': -91.127675, 'type': 'locality', 'name': 'Carthage', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Hancock County', 'locality': 'Carthage', 'administrative_area': 'Carthage Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Carthage, IL, USA'}	40.415389	-91.127675	Illinois	Hancock County	Carthage
Nashville, TN 37214	{'latitude': 36.162189, 'longitude': -86.670867, 'type': 'postalcode', 'name': '37214', 'number': None, 'postal_code': '37214', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37214, Nashville, TN, USA'}	36.162189	-86.670867	Tennessee	Davidson County	Nashville
Beavercreek, OH 45431	{'latitude': 39.763835, 'longitude': -84.084204, 'type': 'postalcode', 'name': '45431', 'number': None, 'postal_code': '45431', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Greene County', 'locality': 'Beavercreek', 'administrative_area': 'Beavercreek Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '45431, Beavercreek, OH, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-84.139279,39.738666,-84.013039,39.793498&layer=mapnik&marker=39.763835,-84.084204'}	39.763835	-84.084204	Ohio	Greene County	Beavercreek
Manhattan Beach, CA 90266	{'latitude': 33.889488, 'longitude': -118.397131, 'type': 'locality', 'name': 'Manhattan Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Manhattan Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Manhattan Beach, CA, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-118.423464,33.872804,-118.378599,33.906141&layer=mapnik&marker=33.889488,-118.397131'}	33.889488	-118.397131	California	Los Angeles County	Manhattan Beach
Jacksonville, FL 32202 (Downtown area)	{'latitude': 30.324709, 'longitude': -81.647172, 'type': 'postalcode', 'name': '32202', 'number': None, 'postal_code': '32202', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Duval County', 'locality': 'Jacksonville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '32202, Jacksonville, FL, USA'}	30.324709	-81.647172	Florida	Duval County	Jacksonville
Raleigh, NC 27609 (North Raleigh area)	{'latitude': 35.843765, 'longitude': -78.633643, 'type': 'postalcode', 'name': '27609', 'number': None, 'postal_code': '27609', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wake County', 'locality': 'Raleigh', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '27609, Raleigh, NC, USA'}	35.843765	-78.633643	North Carolina	Wake County	Raleigh
Richmond, VA	{'latitude': 37.519231, 'longitude': -77.473927, 'type': 'locality', 'name': 'Richmond', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Richmond', 'locality': 'Richmond', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Richmond, VA, USA'}	37.519231	-77.473927	Virginia	City of Richmond	Richmond
Boise, ID 83720 (Downtown area)	{'latitude': 62.782511, 'longitude': 29.492965, 'type': 'postalcode', 'name': '83720', 'number': None, 'postal_code': '83720', 'street': None, 'confidence': 1, 'region': 'North Karelen', 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Finland', 'country_code': 'FIN', 'continent': 'Europe', 'label': '83720, Finland'}	62.782511	29.492965	North Karelen		
Greenville, SC 29607	{'latitude': 34.846404, 'longitude': -82.382065, 'type': 'locality', 'name': 'Greenville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Greenville County', 'locality': 'Greenville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Greenville, SC, USA'}	34.846404	-82.382065	South Carolina	Greenville County	Greenville
Camden, NJ 08102 (Central Waterfront area)	{'latitude': 39.952558, 'longitude': -75.120999, 'type': 'postalcode', 'name': '08102', 'number': None, 'postal_code': '08102', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Camden County', 'locality': 'Camden', 'administrative_area': 'Camden', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08102, Camden, NJ, USA'}	39.952558	-75.120999	New Jersey	Camden County	Camden
Tyler, TX	{'latitude': 32.321898, 'longitude': -95.299952, 'type': 'locality', 'name': 'Tyler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Smith County', 'locality': 'Tyler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tyler, TX, USA'}	32.321898	-95.299952	Texas	Smith County	Tyler
Camden, NJ 08102	{'latitude': 39.952558, 'longitude': -75.120999, 'type': 'postalcode', 'name': '08102', 'number': None, 'postal_code': '08102', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Camden County', 'locality': 'Camden', 'administrative_area': 'Camden', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08102, Camden, NJ, USA'}	39.952558	-75.120999	New Jersey	Camden County	Camden
