location	values
Framingham, MA	{'latitude': 42.309583, 'longitude': -71.435625, 'type': 'locality', 'name': 'Framingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Framingham', 'administrative_area': 'Framingham', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Framingham, MA, USA'}
New York, NY 10019 (Midtown area)	{'latitude': 40.765823, 'longitude': -73.987179, 'type': 'postalcode', 'name': '10019', 'number': None, 'postal_code': '10019', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '10019, New York, NY, USA'}
Chicago, IL 60631 (O'Hare area)	{'latitude': 41.87897, 'longitude': -87.66063, 'type': 'locality', 'name': 'Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicago, IL, USA'}
Riverside, CA (Canyon Crest area)	{'latitude': 42.337111, 'longitude': -71.253054, 'type': 'venue', 'name': 'Riverside', 'number': '367', 'postal_code': '02466', 'street': 'Grove Street', 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Newton', 'administrative_area': 'Newton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Riverside, Newton, MA, USA'}
Tampa, FL 33613	{'latitude': 27.935231, 'longitude': -82.495716, 'type': 'locality', 'name': 'Tampa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Hillsborough County', 'locality': 'Tampa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tampa, FL, USA'}
Bothell, WA 98021	{'latitude': 47.787813, 'longitude': -122.205088, 'type': 'locality', 'name': 'Bothell', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Snohomish County', 'locality': 'Bothell', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bothell, WA, USA'}
Urbana, IL	{'latitude': 40.100997, 'longitude': -88.196682, 'type': 'locality', 'name': 'Urbana', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Champaign County', 'locality': 'Urbana', 'administrative_area': 'Cunningham Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Urbana, IL, USA'}
Denton, TX	{'latitude': 33.219058, 'longitude': -97.13077, 'type': 'locality', 'name': 'Denton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Denton County', 'locality': 'Denton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Denton, TX, USA'}
Dayton, NJ 08810	{'latitude': 40.381433, 'longitude': -74.513469, 'type': 'locality', 'name': 'Dayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Middlesex County', 'locality': 'Dayton', 'administrative_area': 'South Brunswick Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dayton, NJ, USA'}
Columbus, OH 43219	{'latitude': 39.980761, 'longitude': -82.985331, 'type': 'locality', 'name': 'Columbus', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Columbus', 'administrative_area': 'Columbus', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbus, OH, USA'}
Nashville, TN	{'latitude': 36.236907, 'longitude': -86.834683, 'type': 'locality', 'name': 'Nashville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Nashville, TN, USA'}
Carthage, IL 62321	{'latitude': 40.415389, 'longitude': -91.127675, 'type': 'locality', 'name': 'Carthage', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Hancock County', 'locality': 'Carthage', 'administrative_area': 'Carthage Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Carthage, IL, USA'}
Nashville, TN 37214	{'latitude': 36.162189, 'longitude': -86.670867, 'type': 'postalcode', 'name': '37214', 'number': None, 'postal_code': '37214', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37214, Nashville, TN, USA'}
Beavercreek, OH 45431	{'latitude': 39.763835, 'longitude': -84.084204, 'type': 'postalcode', 'name': '45431', 'number': None, 'postal_code': '45431', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Greene County', 'locality': 'Beavercreek', 'administrative_area': 'Beavercreek Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '45431, Beavercreek, OH, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-84.139279,39.738666,-84.013039,39.793498&layer=mapnik&marker=39.763835,-84.084204'}
Manhattan Beach, CA 90266	{'latitude': 33.889488, 'longitude': -118.397131, 'type': 'locality', 'name': 'Manhattan Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Manhattan Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Manhattan Beach, CA, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-118.423464,33.872804,-118.378599,33.906141&layer=mapnik&marker=33.889488,-118.397131'}
Jacksonville, FL 32202 (Downtown area)	{'latitude': 30.324709, 'longitude': -81.647172, 'type': 'postalcode', 'name': '32202', 'number': None, 'postal_code': '32202', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Duval County', 'locality': 'Jacksonville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '32202, Jacksonville, FL, USA'}
Raleigh, NC 27609 (North Raleigh area)	{'latitude': 35.843765, 'longitude': -78.633643, 'type': 'postalcode', 'name': '27609', 'number': None, 'postal_code': '27609', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wake County', 'locality': 'Raleigh', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '27609, Raleigh, NC, USA'}
Richmond, VA	{'latitude': 37.519231, 'longitude': -77.473927, 'type': 'locality', 'name': 'Richmond', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Richmond', 'locality': 'Richmond', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Richmond, VA, USA'}
Boise, ID 83720 (Downtown area)	{'latitude': 62.782511, 'longitude': 29.492965, 'type': 'postalcode', 'name': '83720', 'number': None, 'postal_code': '83720', 'street': None, 'confidence': 1, 'region': 'North Karelen', 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Finland', 'country_code': 'FIN', 'continent': 'Europe', 'label': '83720, Finland'}
Greenville, SC 29607	{'latitude': 34.846404, 'longitude': -82.382065, 'type': 'locality', 'name': 'Greenville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Greenville County', 'locality': 'Greenville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Greenville, SC, USA'}
Camden, NJ 08102 (Central Waterfront area)	{'latitude': 39.952558, 'longitude': -75.120999, 'type': 'postalcode', 'name': '08102', 'number': None, 'postal_code': '08102', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Camden County', 'locality': 'Camden', 'administrative_area': 'Camden', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08102, Camden, NJ, USA'}
Tyler, TX	{'latitude': 32.321898, 'longitude': -95.299952, 'type': 'locality', 'name': 'Tyler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Smith County', 'locality': 'Tyler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tyler, TX, USA'}
Camden, NJ 08102	{'latitude': 39.952558, 'longitude': -75.120999, 'type': 'postalcode', 'name': '08102', 'number': None, 'postal_code': '08102', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Camden County', 'locality': 'Camden', 'administrative_area': 'Camden', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08102, Camden, NJ, USA'}
Sacramento, CA 95833	{'latitude': 38.57873, 'longitude': -121.466786, 'type': 'locality', 'name': 'Sacramento', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Sacramento County', 'locality': 'Sacramento', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sacramento, CA, USA'}
Houston, TX 77056 (Uptown area)	{'latitude': 29.748202, 'longitude': -95.468948, 'type': 'postalcode', 'name': '77056', 'number': None, 'postal_code': '77056', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77056, Houston, TX, USA'}
Kansas City, MO 64118 (Briarcliff West area)	{'latitude': 39.051001, 'longitude': -94.541464, 'type': 'locality', 'name': 'Kansas City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'Jackson County', 'locality': 'Kansas City', 'administrative_area': 'Kaw Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kansas City, MO, USA'}
Arkansas	{'latitude': 34.755883, 'longitude': -92.640559, 'type': 'region', 'name': 'Arkansas', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arkansas', 'region_code': 'AR', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Arkansas, USA'}
Phoenix, AZ 85054	{'latitude': 33.678536, 'longitude': -111.941095, 'type': 'postalcode', 'name': '85054', 'number': None, 'postal_code': '85054', 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '85054, Phoenix, AZ, USA'}
San Diego, CA 92093 (Torrey Pines area)	{'latitude': 32.72793, 'longitude': -117.15529, 'type': 'locality', 'name': 'San Diego', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'San Diego', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Diego, CA, USA'}
Madison, WI 53784 (Burr Oaks area)	{'latitude': 43.081817, 'longitude': -89.396584, 'type': 'locality', 'name': 'Madison', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Dane County', 'locality': 'Madison', 'administrative_area': 'Madison', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Madison, WI, USA'}
Louisville, KY	{'latitude': 38.141177, 'longitude': -85.776881, 'type': 'locality', 'name': 'Louisville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kentucky', 'region_code': 'KY', 'county': 'Jefferson County', 'locality': 'Louisville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Louisville, KY, USA'}
Ashburn, VA	{'latitude': 39.029265, 'longitude': -77.467387, 'type': 'locality', 'name': 'Ashburn', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Loudoun County', 'locality': 'Ashburn', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Ashburn, VA, USA'}
Hudson, OH 44236	{'latitude': 41.246425, 'longitude': -81.449581, 'type': 'postalcode', 'name': '44236', 'number': None, 'postal_code': '44236', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Summit County', 'locality': 'Hudson', 'administrative_area': 'Hudson', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44236, Hudson, OH, USA'}
Albany, NY 12236	{'latitude': 42.657553, 'longitude': -73.790031, 'type': 'locality', 'name': 'Albany', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Albany County', 'locality': 'Albany', 'administrative_area': 'Albany', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Albany, NY, USA'}
